date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:14	5232/5232	---MC-	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	http://lcoi.tk/robots.txt		(from )
16:40:14	18504/18504	---MC-	200	added ('OK')	text/html	etag:W/%2263465ba6-4848%22	http://lcoi.tk/	D:/lcoi.tk/lcoi.tk/index.html	(from )
16:40:15	9715/9715	---M--	200	added ('OK')	image/png	etag:%2263466064-25f3%22	http://cdn.lcoi.tk/picture/icon.png	D:/lcoi.tk/cdn.lcoi.tk/picture/icon.png	(from )
16:40:16	33/33	---M--	200	added ('OK')	text/css	etag:%2263466064-21%22	http://cdn.lcoi.tk/a.css	D:/lcoi.tk/cdn.lcoi.tk/a.css	(from )
16:40:16	220/220	---M--	200	added ('OK')	text/css	etag:%2263466064-dc%22	http://cdn.lcoi.tk/body.css	D:/lcoi.tk/cdn.lcoi.tk/body.css	(from )
16:40:17	22584/22584	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-5838%22	http://cdn.lcoi.tk/lcoi.css	D:/lcoi.tk/cdn.lcoi.tk/lcoi.css	(from )
16:40:19	316735/316735	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-4d53f%22	http://cdn.lcoi.tk/amazeui.css	D:/lcoi.tk/cdn.lcoi.tk/amazeui.css	(from )
16:40:19	1061/1061	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-425%22	http://cdn.lcoi.tk/highlight.css	D:/lcoi.tk/cdn.lcoi.tk/highlight.css	(from )
16:40:20	102627/102627	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-190e3%22	http://cdn.lcoi.tk/markdown.css	D:/lcoi.tk/cdn.lcoi.tk/markdown.css	(from )
16:40:21	26348/26348	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-66ec%22	http://cdn.lcoi.tk/katex.css	D:/lcoi.tk/cdn.lcoi.tk/katex.css	(from )
16:40:22	165278/165278	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-2859e%22	http://cdn.lcoi.tk/loader.css	D:/lcoi.tk/cdn.lcoi.tk/loader.css	(from )
16:40:22	17897/17897	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-45e9%22	http://cdn.lcoi.tk/ace.css	D:/lcoi.tk/cdn.lcoi.tk/ace.css	(from )
16:40:23	897/897	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-381%22	http://cdn.lcoi.tk/div.css	D:/lcoi.tk/cdn.lcoi.tk/div.css	(from )
16:40:23	798/798	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-31e%22	http://cdn.lcoi.tk/error.css	D:/lcoi.tk/cdn.lcoi.tk/error.css	(from )
16:40:24	8066/8066	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1f82%22	http://cdn.lcoi.tk/fa.css	D:/lcoi.tk/cdn.lcoi.tk/fa.css	(from )
16:40:24	2433/2433	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-981%22	http://cdn.lcoi.tk/ife.css	D:/lcoi.tk/cdn.lcoi.tk/ife.css	(from )
16:40:25	488/488	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1e8%22	http://cdn.lcoi.tk/resize.css	D:/lcoi.tk/cdn.lcoi.tk/resize.css	(from )
16:40:26	661/661	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-295%22	http://cdn.lcoi.tk/data-v-27b2cd59.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-27b2cd59.css	(from )
16:40:26	617/617	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-269%22	http://cdn.lcoi.tk/data-v-303bbf52.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-303bbf52.css	(from )
16:40:27	485/485	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1e5%22	http://cdn.lcoi.tk/data-v-602e0231.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-602e0231.css	(from )
16:40:27	334/334	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-14e%22	http://cdn.lcoi.tk/data-v-639bc19b.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-639bc19b.css	(from )
16:40:28	656/656	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-290%22	http://cdn.lcoi.tk/data-v-6330a2e0.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-6330a2e0.css	(from )
16:40:29	488/488	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-1e8%22	http://cdn.lcoi.tk/data-v-8859cc6c.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-8859cc6c.css	(from )
16:40:29	833/833	---MC-	200	added ('OK')	text/css	etag:W/%2263466064-341%22	http://cdn.lcoi.tk/data-v-e6ccd65e.css	D:/lcoi.tk/cdn.lcoi.tk/data-v-e6ccd65e.css	(from )
16:40:30	577/577	---MC-	200	added ('OK')	application/javascript	etag:W/%2263466064-241%22	http://cdn.lcoi.tk/cookie.js	D:/lcoi.tk/cdn.lcoi.tk/cookie.js	(from )
16:40:30	736/736	---MC-	200	added ('OK')	application/javascript	etag:W/%2263466064-2e0%22	http://cdn.lcoi.tk/title.js	D:/lcoi.tk/cdn.lcoi.tk/title.js	(from )
16:40:31	2932/2932	---M--	200	added ('OK')	image/png	etag:%2263466064-b74%22	http://cdn.lcoi.tk/picture/logo-single.png	D:/lcoi.tk/cdn.lcoi.tk/picture/logo-single.png	(from )
16:40:31	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Oct%202022%2008:40:32%20GMT	http://lcoi.tk/join-us	D:/lcoi.tk/lcoi.tk/join-us.19.delayed	(from )
16:40:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Oct%202022%2008:40:32%20GMT	http://lcoi.tk/thanks	D:/lcoi.tk/lcoi.tk/thanks.1a.delayed	(from )
16:40:32	21657/21657	---MC-	200	added ('OK')	text/html	etag:W/%2263465ba6-5499%22	http://lcoi.tk/join-us/	D:/lcoi.tk/lcoi.tk/join-us/index.html	(from http://lcoi.tk/)
16:40:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Oct%202022%2008:40:33%20GMT	http://lcoi.tk/problem	D:/lcoi.tk/lcoi.tk/problem.1b.delayed	(from )
16:40:33	55969/55969	---MC-	200	added ('OK')	text/html	etag:W/%2263465ba6-daa1%22	http://lcoi.tk/thanks/	D:/lcoi.tk/lcoi.tk/thanks/index.html	(from http://lcoi.tk/)
16:40:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Oct%202022%2008:40:34%20GMT	http://lcoi.tk/contest	D:/lcoi.tk/lcoi.tk/contest.1c.delayed	(from )
16:40:33	47061/47061	---MC-	200	added ('OK')	text/html	etag:W/%2263465ba6-b7d5%22	http://lcoi.tk/problem/	D:/lcoi.tk/lcoi.tk/problem/index.html	(from http://lcoi.tk/)
16:40:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Oct%202022%2008:40:34%20GMT	http://lcoi.tk/user	D:/lcoi.tk/lcoi.tk/user.1d.delayed	(from )
16:40:34	28523/28523	---MC-	200	added ('OK')	text/html	etag:W/%2263465ba6-6f6b%22	http://lcoi.tk/contest/	D:/lcoi.tk/lcoi.tk/contest/index.html	(from http://lcoi.tk/)
16:40:34	9339/9339	---MC-	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	http://lcoi.tk/Users	D:/lcoi.tk/lcoi.tk/Users.1e.delayed	(from )
16:40:35	194264/194264	---MC-	200	added ('OK')	text/html	etag:W/%2263465ba6-2f6d8%22	http://lcoi.tk/user/	D:/lcoi.tk/lcoi.tk/user/index.html	(from http://lcoi.tk/)
